x,y,u,v,p
0.577, 0.25, 0.762984, 0, 0.499608
0.569, 0.25, 0.763008, 0, 0.499585
0.562, 0.25, 0.763029, 0, 0.499565
0.554, 0.25, 0.763055, 0, 0.499541
0.546, 0.25, 0.763081, 0, 0.499516
0.539, 0.25, 0.763104, 0, 0.499494
0.531, 0.25, 0.763132, 0, 0.499468
0.524, 0.25, 0.763157, 0, 0.499444
0.516, 0.25, 0.763186, 0, 0.499416
0.509, 0.25, 0.763212, 0, 0.499392
0.501, 0.25, 0.763243, 0, 0.499362
0.494, 0.25, 0.763271, 0, 0.499336
0.486, 0.25, 0.763304, 0, 0.499305
0.479, 0.25, 0.763333, 0, 0.499277
0.471, 0.25, 0.763368, 0, 0.499244
0.464, 0.25, 0.763399, 0, 0.499215
0.456, 0.25, 0.763436, 0, 0.49918
0.449, 0.25, 0.763469, 0, 0.499148
0.441, 0.25, 0.763508, 0, 0.499111
0.434, 0.25, 0.763543, 0, 0.499078
0.426, 0.25, 0.763585, 0, 0.499039
0.419, 0.25, 0.763622, 0, 0.499004
0.411, 0.25, 0.763665, 0, 0.498963
0.404, 0.25, 0.763704, 0, 0.498926
0.396, 0.25, 0.76375, 0, 0.498883
0.389, 0.25, 0.763791, 0, 0.498844
0.381, 0.25, 0.763839, 0, 0.498799
0.374, 0.25, 0.763882, 0, 0.498758
0.366, 0.25, 0.763933, 0, 0.498711
0.359, 0.25, 0.763977, 0, 0.498669
0.351, 0.25, 0.76403, 0, 0.498619
0.343, 0.25, 0.764083, 0, 0.498569
0.336, 0.25, 0.76413, 0, 0.498525
0.328, 0.25, 0.764184, 0, 0.498474
0.321, 0.25, 0.764232, 0, 0.498429
0.313, 0.25, 0.764287, 0, 0.498377
0.306, 0.25, 0.764335, 0, 0.498331
0.298, 0.25, 0.76439, 0, 0.49828
0.291, 0.25, 0.764437, 0, 0.498235
0.283, 0.25, 0.764491, 0, 0.498184
0.276, 0.25, 0.764536, 0, 0.498141
0.268, 0.25, 0.764587, 0, 0.498094
0.261, 0.25, 0.764629, 0, 0.498054
0.253, 0.25, 0.764674, 0, 0.498011
0.246, 0.25, 0.764712, 0, 0.497976
0.238, 0.25, 0.764749, 0, 0.49794
0.231, 0.25, 0.764779, 0, 0.497912
0.223, 0.25, 0.764806, 0, 0.497886
0.216, 0.25, 0.764825, 0, 0.497868
0.208, 0.25, 0.764839, 0, 0.497855
0.201, 0.25, 0.764843, 0, 0.49785
